cnpjPartido;recibo;cnpjDoador;data;valor;id;sigla
74703034000189;00318380244;03078261000112;24-JUL-14;50000;2246;PP
74703034000189;000;03078261000112;23-SEP-14;50000;2247;PP
02560819000139;0021;03092799000181;01-OCT-14;12000;2248;PHS 
02560819000139;661533000013439;03092799000181;22-AUG-14;17500;2249;PHS 
00676213000138;3134910000155;03134910000155;23-JUL-14;3000000;2250;PMDB
00676262000170; ;03134910000155;06-AUG-14;200000;2251;PT
00676262000170; ;03134910000155;06-AUG-14;800000;2252;PT
00676262000170; ;03134910000155;06-AUG-14;400000;2253;PT
01349048000172;11409;03134910000155;30-JUL-14;250000;2254;PP
09428368000120;220011409;03134910000155;30-JUL-14;200000;2255;DEM 
10669331000172;0000;03134910000155;06-AUG-14;500000;2256;PSB 
19398512000186;0057;03134910000155;18-NOV-14;500000;2257;PROS
20946472000149;1;03134910000155;30/07/2014;500000;2258;PSB 
33794488000125;000001;03134910000155;30-AUG-14;100000;2259;PSDB
50866821000183;3134910000155;03134910000155;06-AUG-14;1000000;2260;PT
56272537000165;3134910000155;03134910000155;06-AUG-14;150000;2261;PPS 
87582714000133;007153;03134910000155;13-AUG-14;180000;2262;PMDB
03475971000186;3134910000236;03134910000236;16-JUL-14;370000;2263;PSB 
08810753000174;3134910000236;03134910000236;16-JUL-14;300000;2264;PP
74703034000189;47610;03134910000236;16-JUL-14;250000;2265;PP
20589986000194;27;03141152000100;12/09/2014;2800;2266;PRB 
20589986000194;9142679;03141152000100;11/09/2014;2200;2267;PRB 
20589986000194;20;03141152000100;03/09/2014;2000;2268;PRB 
20589986000194;19;03141152000100;03/09/2014;3000;2269;PRB 
20589986000194;9458055;03141152000100;02/09/2014;6619.83;2270;PRB 
20589986000194;126871;03141152000100;01/09/2014;17300;2271;PRB 
20589986000194;24;03141152000100;01/09/2014;3000;2272;PRB 
20589986000194;23;03141152000100;01/09/2014;4900;2273;PRB 
20633181000109;4359410;03144060000176;05/09/2014;100000;2274;PP
00887169000105;4145113;03147393000159;26-SEP-14;500000;2275;PP
08517423000195;7911100;03147393000159;22-OCT-14;185000;2276;PR
20633183000190;1205443;03160075000128;03/10/2014;10000;2277;PROS
20633183000190;6356574;03160075000128;07/10/2014;100000;2278;PROS
20633183000190;6379625;03160075000128;07/10/2014;90000;2279;PROS
20558161000102;1023646;03174517000195;22/10/2014;50000;2280;PSDB
20592601000148;663423000019911;03193498000144;30/09/2014;10000;2281;PSDB
20633166000152;4016603;03199838000144;13/08/2014;10000;2282;PSB 
20697118000128;100201;03201617000163;02/10/2014;4500;2283;PHS 
20632466000117; ;03209915000108;03/09/2014;2000;2284;PMDB
00676262000170;3792289;03210543000121;15-OCT-14;175000;2285;PT
03653474000120;3654044;03210543000121;15-OCT-14;50000;2286;PSDB
14935252000117;3654045;03210543000121;16-OCT-14;45000;2287;PSD 
20558161000102;008842;03221095000161;07/10/2014;500000;2288;PSDB
50866821000183;9576969;03221095000161;04-NOV-14;155000;2289;PT
81183253000140;664121000046252;03222465000185;16-SEP-14;100000;2290;PSDB
20589986000194;9672113;03230078000190;03/10/2014;22000;2291;PRB 
20589986000194;9570957;03230078000190;03/10/2014;25000;2292;PRB 
20589986000194;384084;03230078000190;03/10/2014;3000;2293;PRB 
22441349000100;020488;03237583000167;22-AUG-14;1000;2294;PC do B 
20545408000156;3242615000112;03242615000112;03/09/2014;3000;2295;PSOL
20545408000156;852022;03242615000112;23/07/2014;3000;2296;PSOL
20545408000156;850002;03242615000112;13/08/2014;3000;2297;PSOL
20614466000194;210117;03269404000173;16/10/2014;300000;2298;PT
15579147000155;140858;03272150000142;29-SEP-14;386000;2299;PMDB
00676262000170;9422816;03279285000130;14-OCT-14;15000;2300;PT
00676262000170;9780183;03279285000130;22-AUG-14;15000;2301;PT
00676262000170;4911523;03279285000130;05-AUG-14;250000;2302;PT
03653474000120;6892551;03279285000130;19-SEP-14;150000;2303;PSDB
30902811000149;000237;03279285000130;01-OCT-14;200000;2304;PMDB
01421697000137;102;03288513000138;14-AUG-14;49000;2305;PSB 
03940864000181;7867381;03290011000141;01-OCT-14;25000;2306;PSB 
20589986000194;31778;03305220000111;09/09/2014;50000;2307;PRB 
59941682000180;660301000031778;03305220000111;09-SEP-14;200000;2308;PSDB
02629239000150; ;03308138000140;22-JUL-14;200;2309;PSDC
20592602000192;385936;03311104000105;24/07/2014;400000;2310;PROS
20592602000192;386255;03311104000105;25/07/2014;400000;2311;PROS
00676262000170;553429000011165;03318115000117;03-OCT-14;100000;2312;PT
20633181000109;661321000201909;03320937000132;09/09/2014;100000;2313;PP
54956495000156;850113;03325935000136;21-AUG-14;100000;2314;PC do B 
84638196000134;3939472LOTE1417;03327149000178;26-AUG-14;1000;2315;PMDB
00676213000138;113239;03327988000196;07-AUG-14;1000000;2316;PMDB
00676213000138;4059330;03327988000196;13-AUG-14;200000;2317;PMDB
00676213000138;5024080;03327988000196;27-AUG-14;500000;2318;PMDB
01349048000172;0101089;03327988000196;25-SEP-14;300000;2319;PP
01387080000142;7878241;03327988000196;07-AUG-14;300000;2320;PMDB
03653474000120;7382830;03327988000196;19-AUG-14;200000;2321;PSDB
15047989000166;7382829;03327988000196;19-AUG-14;50000;2322;PSD 
16847535000132;7382854;03327988000196;19-AUG-14;100000;2323;PT
18532307000107;7878230;03327988000196;07-AUG-14;250000;2324;SD
20568698000153;7870092;03327988000196;07/08/2014;200000;2325;PSD 
20609045000175;103024A1625B5BA;03327988000196;05/08/2014;400000;2326;PT
20614466000194;000341;03327988000196;08/08/2014;700000;2327;PT
20620278000179;5024091;03327988000196;27/08/2014;500000;2328;PSDB
20632467000161;TED;03327988000196;08/08/2014;600000;2329;PMDB
20946469000125;9624360;03327988000196;02/10/2014;1000000;2330;PSB 
27432848000146;201408081557232;03327988000196;08-AUG-14;200000;2331;PT
50866821000183;663400000006603;03327988000196;19-DEC-14;1000000;2332;PT
54956495000156;121582;03327988000196;05-AUG-14;600000;2333;PC do B 
83369082000173;STR0008R3;03327988000196;22-OCT-14;1000000;2334;PMDB
13477302000105;7945793;03342704000130;22-SEP-14;50000;2335;PT
13477302000105;4140047;03342704000130;26-AUG-14;50000;2336;PT
19019928000146;000237;03354650000123;18-SEP-14;50000;2337;PROS
20573741000179;0129;03364777000123;21/10/2014;100000;2338;SD
20609050000188;850008;03376365000103;01/09/2014;23900;2339;PT
00676213000138;338076300;03380763000101;07-AUG-14;96000;2340;PMDB
00676213000138;33807630001012;03380763000101;16-OCT-14;55000;2341;PMDB
00676213000138;3380763000101;03380763000101;22-OCT-14;31000;2342;PMDB
03653474000120;000101;03380763000101;22-OCT-14;16000;2343;PSDB
13629827000100;19225;03382970000197;03-OCT-14;100000;2344;PSD 
20603433000149;28972;03384719000161;21/10/2014;1000;2345;PMDB
03412659000143; ;03412659000143;04-AUG-14;558;2346;PSTU
03412659000143; ;03412659000143;04-JUL-14;474;2347;PSTU
20623028000192;014594;03416658000177;15/09/2014;18100;2348;PC do B 
20603446000118; ;03422390000186;03/10/2014;33000;2349;PMDB
20603446000118; ;03422390000186;01/09/2014;132000;2350;PMDB
20603446000118; ;03422390000186;03/10/2014;3750;2351;PMDB
20603446000118; ;03422390000186;03/10/2014;2540.48;2352;PMDB
20603446000118; ;03422390000186;03/10/2014;14516.6;2353;PMDB
20603446000118; ;03422390000186;03/10/2014;10857.1;2354;PMDB
20603446000118; ;03422390000186;03/10/2014;10023.8;2355;PMDB
20603446000118; ;03422390000186;03/10/2014;4350;2356;PMDB
20603446000118; ;03422390000186;03/10/2014;4350;2357;PMDB
20603446000118; ;03422390000186;03/10/2014;8000;2358;PMDB
20603446000118; ;03422390000186;03/10/2014;3750;2359;PMDB
20603446000118; ;03422390000186;03/10/2014;3750;2360;PMDB
20603446000118; ;03422390000186;03/10/2014;2857.14;2361;PMDB
20603446000118; ;03422390000186;03/10/2014;2857.14;2362;PMDB
20603446000118; ;03422390000186;03/10/2014;8000;2363;PMDB
20603446000118; ;03422390000186;03/10/2014;26123.8;2364;PMDB
20603446000118; ;03422390000186;03/10/2014;9416.67;2365;PMDB
20603446000118; ;03422390000186;03/10/2014;2857.14;2366;PMDB
20592604000181; ;03424184000105;01/10/2014;283;2367;PSB 
20946469000125; ;03424184000105;01/10/2014;283;2368;PSB 
