cnpj;setor;nome;ID
04641376003828;Comércio atacadista de produtos alimentícios em geral;SUPERMERCADOS BH COMERCIO DE ALIMENTOS LTDA;619
04643758000107;Fabricação de açúcar em bruto;USIVALE INDUSTRIA E COMERCIO LTDA;620
04644515000185;Gestão de ativos intangíveis não-financeiros;TODOS EMPRENDIMENTOS LTDA - EPP;621
04648595000147;Fabricação de outros produtos alimentícios não especificados anteriormente;RIPASA COMERCIO E REPRESENTACOES DE ALIMENTOS LTDA.;622
04664637000133;Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente;COPAG DA AMAZONIA S A;623
04667180000110;Edição integrada à impressão de cadastros, listas e outros produtos gráficos;BELEM INDUSTRIA E COMERCIO LTDA - ME;624
04669925000180;Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana;SERVICOS ESPECIAIS DE TRANSPORTES DO AMAZONAS LTDA;625
04676906000181;Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes;MGM LOCACOES LTDA;626
04680660000111;Fabricação de refrigerantes;DBL INDUSTRIA E COMERCIO DE BEBIDAS E EMBALAGENS LTDA;627
04694906000104;Preparação de massa de concreto e argamassa para construção;COMERCIAL PRIMAVERA LTDA - ME;628
04700632000119;Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis;MC3 TECNOLOGIA E LOGISTICA LTDA - EPP;629
04701425000189;Educação superior - graduação e pós-graduação;SOCIEDADE MESTRA DE EDUCACAO E CULTURA DE GOIAS S/A;630
04701906000194;Comércio varejista de combustíveis para veículos automotores;AUTO POSTO CAMPINAS LTDA;631
04713287000158;Aluguel de imóveis próprios;SHOPPING CENTER JARDINS S/A;632
04714991000125;Impressão de material para outros usos;IMPRECOLOR IMPRESSORA LTDA. - EPP;633
04715685000103;Cooperativas de crédito mútuo;COOPERATIVA DE CREDITO MUTUO DOS DESPACHANTES DE TRANSITO DE SANTA CATARINA E REGIAO METROPOLITANA DE PORTO ALEGRE/RS - SICOOB CREDITRAN;634
04716316000135;Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;UNIPETRO LOCACAO DE EQUIPAMENTOS LTDA;635
04742466000113;Comércio por atacado de peças e acessórios novos para veículos automotores;DISTRIBUIDORA PARAENSE DE BATERIAS E ACESSORIOS LTDA;636
04747794000102;Produção de ovos;MANTIQUEIRA ALIMENTOS LTDA.;637
04749632000103;Treinamento em desenvolvimento profissional e gerencial;INTELIGENCIA XXI LTDA;638
04754028000175;Construção de embarcações para esporte e lazer;F MARINE INDUSTRIA E COMERCIO DE PRODUTOS NAUTICOS LTDA;639
04764300000106;Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação;EFICIENCIA CONSTRUTORA LTDA;640
04779685001734;Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;OFS RJ LTDA;641
04779685002030;Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;OFS RJ LTDA;642
04779685004245;Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;OFS RJ LTDA;643
04780776000122;Obras portuárias, marítimas e fluviais;DP BARROS - PAVIMENTACAO E CONSTRUCAO LTDA;644
04782127000160;Construção de edifícios;F. N. CAVALCANTE CONSTRUCOES LTDA;645
04782407000179;Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica;AUXILIO AGENCIAMENTO DE RECURSOS HUMANOS E SERVICOS LTDA;646
04791529000121;Comércio atacadista de algodão;COOPERCOTTON - COOP. DE COTONICULTORES DE MATO GROSSO;647
04792018000124;Holdings de instituições não-financeiras;PLAZA CASA FORTE PARTICIPACOES E EMPREENDIMENTOS S.A;648
04805021000135;Aluguel de imóveis próprios;EMAMI PARTICIPACOES S.A;649
04805925000160;Comércio atacadista de artigos de escritório e de papelaria;ANTONIO CEZAR LIBORIO GOMES - ME;650
04806130000177;Obras de terraplenagem;DELFT SERVICOS LTDA;651
04806169000194;Comércio varejista de combustíveis para veículos automotores;AUTO POSTO CHAFARIZ LTDA;652
04811052000107;Comércio varejista de combustíveis para veículos automotores;TRAIRI COMERCIO DE DERIVADOS DE PETROLEO LTDA;653
04815734000180;Atividades de apoio à produção florestal;JARI CELULOSE, PAPEL E EMBALAGENS S/A;654
04817052000106;Fabricação de motocicletas;YAMAHA MOTOR DA AMAZONIA LTDA;655
04817728000161;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;LMENTS POS-PRODUCAO DE VIDEOS LTDA - ME;656
04833106000127;Construção de edifícios;C M CONSTRUTORA LTDA;657
04843023000119;Outras obras de engenharia civil não especificadas anteriormente;MONTREAL CONSTRUCOES LTDA.;658
04843899000165;Comércio atacadista de cimento;CIMEC COMERCIO, SERVICOS, IMPORTACAO E EXPORTACAO LTDA;659
04845177000140;Comércio a varejo de automóveis, camionetas e utilitários novos;ADPL MOTORS LTDA.;660
04858174000140;Construção de rodovias e ferrovias;EPC CONSTRUCOES LTDA;661
04858393000120;Educação superior - graduação e pós-graduação;COMPLEXO DE ENSINO SUPERIOR MERIDIONAL S.A.;662
04865514000160;Comércio a varejo de automóveis, camionetas e utilitários novos;TERRASOL VEICULOS LTDA;663
04870288000106;Comércio a varejo de automóveis, camionetas e utilitários novos;PLATINUM TRADING S/A;664
04885413000151;Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras;COSENTINO LATINA LTDA;665
04889603000147;Comércio atacadista de ferragens e ferramentas;MASS - COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA;666
04899037000154;Atividades de apoio à aqüicultura em água doce;QUEIROZ GALVAO ALIMENTOS S/A;667
04899265000124;Restaurantes e similares;GRAND BEER RESTAURANTE & CHOPERIA LTDA - ME;668
04899316000118;Comércio atacadista de medicamentos e drogas de uso humano;IMIFARMA PRODUTOS FARMACEUTICOS E COSMETICOS SA;669
04902180000158;Comércio varejista de materiais de construção não especificados anteriormente;VAL COMERCIO DE MATERIAIS PARA CONSTRUCAO - EIRELI - EPP;670
04928297000100;Fabricação de refrigerantes;COMPAR COMPANHIA PARAENSE DE REFRIGERANTES;671
04952792000155;Fabricação de estruturas metálicas;CARBOQUIMICA DA AMAZONIA LTDA;672
04952865000109;Serviços de engenharia;BEMO DO BRASIL ENGENHARIA E MONTAGENS LTDA;673
04987987000130;Comércio varejista de combustíveis para veículos automotores;DISTRIBUIDORA PERDOENSE DE PETROLEO LTDA;674
04996600000102;Comércio a varejo de automóveis, camionetas e utilitários novos;NISSEY MOTORS LTDA;675
05000684000145;Comércio varejista de combustíveis para veículos automotores;AUTO POSTO PETER PAN 01 LTDA;676
05014148000107;Atividades de organizações políticas;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO - PSTU RN;677
05018345000196;Construção de edifícios;C. A. CALDAS & CIA LTDA - ME;678
05022805000150;Serviços de pré-impressão;EDITORA IMPRESSO LTDA - ME;679
05022812000151;Edição integrada à impressão de cadastros, listas e outros produtos gráficos;NONATO, PEREIRA E RIOS LTDA - ME;680
05025210000158;Comércio atacadista de materiais de construção em geral;GEOTERRA SERVICOS E MINERACAO LTDA;681
05043487000103;Construção de edifícios;CONSTRUTORA E INCORPORADORA FALEIROS LTDA;682
05059270000191;Comércio atacadista de ferragens e ferramentas;OBJETIVA ATACADISTA DA CONSTRUCAO LTDA;683
05076024000148;Construção de edifícios;UNIAO INCORPORADORA & CONSTRUTORA EIRELI;684
05077373000184;Impressão de material para uso publicitário;MARCELO PAIVA BARCELLOS - ME;685
05082661000399;Comércio varejista de combustíveis para veículos automotores;MARMELEIRO AUTO POSTO LTDA;686
05085592000105;Construção de edifícios;MAPE ENGENHARIA LTDA;687
05092071000185;Comércio atacadista de combustíveis realizado por transportador retalhista (TRR);MANDIPETRO - TRANSPORTADORA RETALHISTA LTDA - ME;688
05102954000129;Agências de viagens;MSC CRUZEIROS DO BRASIL LTDA.;689
05110848000197;Atividades de organizações políticas;PARTIDO VERDE - PV;690
05119218000183;Comércio por atacado de pneumáticos e câmaras-de-ar;IGUATEMI COMERCIAL LTDA;691
05124800000138;Obras de terraplenagem;TRANSPLANAGEM TERRAPLANAGEM LTDA;692
05132872000127;Geração de energia elétrica;PARANATINGA ENERGIA S A;693
05146494000130;Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes;UNIPEL ENGENHARIA LTDA;694
05153315000192;Incorporação de empreendimentos imobiliários;SOTO EMPREENDIMENTOS E PARTICIPACOES LTDA;695
05158914000107;Construção de edifícios;DB2 ENGENHARIA LTDA;696
05192488000110;Comércio varejista de materiais de construção não especificados anteriormente;E. CRISTINA PADUA - MATERIAIS PARA CONSTRUCAO - ME;697
05193435000113;Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação;ENGEDRAIN CONSTRUCOES LTDA;698
05194406000176;Comércio a varejo de motocicletas e motonetas novas;ATLANTICA MOTOS LTDA;699
05222638000190;Construção de edifícios;ROUTE CONSTRUCOES LTDA - EPP;700
05230009000102;Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;COMERCIAL DRUGSTORE LTDA;701
05240325000165;Comércio por atacado de automóveis, camionetas e utilitários novos e usados;PORTELA OCHIAI COMERCIO DE VEICULOS LTDA;702
05268723000190;Construção de edifícios;G2O GERENCIAMENTO E OBRAS LTDA;703
05276848000161;Impressão de material para uso publicitário;EDITORA MONA LTDA - ME;704
05282436000134;Outras obras de engenharia civil não especificadas anteriormente;PHOENIX EMPREENDIMENTOS LTDA;705
05291903000192;Atividades de agenciamento marítimo;SAGRES AGENCIAMENTOS MARITIMOS LTDA;706
05303481000128;Holdings de instituições não-financeiras;UNIGEL S/A;707
05314904000105;Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios;LEVFORT COMERCIO E TECNOLOGIA MEDICA - ME;708
05332851000155;Serviços de organização de feiras, congressos, exposições e festas;DMDL MONTAGENS DE STANDS LTDA.;709
05337875000105;Consultoria em tecnologia da informação;NEOWAY TECNOLOGIA INTEGRADA ASSESSORIA E NEGOCIOS SA;710
05343335000126;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;CASA DE ARTES E SOLUCOES ALTERNATIVAS LTDA - EPP;711
05345215000168;Incorporação de empreendimentos imobiliários;JHSF INCORPORACOES LTDA.;712
05346072000109;Impermeabilização em obras de engenharia civil;CONSTRUTORA G-MAIA LTDA.;713
05350372000161;Geração de energia elétrica;AQUARIUS ENERGETICA S/A;714
05351686000189;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;FULLTIME IMAGENS LTDA - EPP;715
05352237000155;Comércio atacadista de energia elétrica;ECOM ENERGIA LTDA.;716
05359708000157;Comércio varejista de materiais de construção em geral;CASA ALFREDO OLIVEIRA LTDA - EPP;717
05360352000171;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;ONTOP PRODUTORA LTDA - EPP;718
05366444000169;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;R.V. IMOLA TRANSPORTES E LOGISTICA LTDA;719
05370698000150;Restaurantes e similares;MEGA MASTER IMPORTACAO E EXPORTACAO LTDA - ME;720
05373212000138;Atividades de apoio à agricultura não especificadas anteriormente;AGROPAULO AGROINDUSTRIAL S.A;721
05373212000219;Atividades de apoio à agricultura não especificadas anteriormente;AGROPAULO AGROINDUSTRIAL S.A;722
05375779000143;Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios;TAKIGAWA COMERCIO DE FRIOS LIMITADA;723
05377229000163;Aluguel de imóveis próprios;GL EMPREENDIMENTOS LTDA.;724
05380321000182;"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças ";MAXICASE MAQUINAS LTDA;725
05384654000260;Impressão de livros, revistas e outras publicações periódicas;NUCLEO GRAF GRAFICA, EDITORA & ASSESSORIA LIMITADA- ME;726
05390905000139;Obras de terraplenagem;DALFOVO CONSTRUTORA LTDA;727
05394630000101;Comércio atacadista de produtos alimentícios em geral;V. SPEROTTO IMPORTACAO E EXPORTACAO - ME;728
05397976000163;Impressão de material para uso publicitário;SINNAL VISUAL RIO COMUNICACOES E PRODUCOES LTDA - ME;729
05402067000176;Educação superior - graduação;SOCIEDADE EDUCACIONAL SUL BAHIANA LTDA - EPP;730
05426095000123;Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia;CLINICA DE IMAGEM E RADIODIAGNOSTICOS ODONTOLOGICOS LTDA.;731
05433860000132;Construção de rodovias e ferrovias;LEVYEQUIP EQUIPAMENTOS LTDA;732
05434101000194;Comércio varejista de materiais de construção em geral;AMGL COMERCIO DE MATERIAIS ELETRICOS E HIDRAULICOS LTDA;733
05448450000165;"Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças";ALVICTO OZORES NOGUEIRA E CIA LTDA;734
05448754000122;Construção de edifícios;PUNTUALI - CONSTRUTORA LTDA;735
05456154000106;Pesquisas de mercado e de opinião pública;OBSERVATORIO PESQUISA DE COMPORTAMENTO LTDA - ME;736
05461408000184;Impressão de material de segurança;GRAFITUSA S/A;737
05469479000123;Serviços de engenharia;KEKA ADMINISTRACAO DE IMOVEIS, OBRAS E SERVICOS LTDA;738
05471870000173;#NULO;#NULO;739
05471879000173;Comércio a varejo de automóveis, camionetas e utilitários novos;KASA MOTORS LTDA;740
05472310000122;Incorporação de empreendimentos imobiliários;MM INCORPORACAO EMPREENDIMENTOS IMOBILIARIOS LTDA.;741
05478567000191;Educação superior - graduação;ORME SERVICOS EDUCACIONAIS LTDA;742
05481634000127;Comércio varejista de combustíveis para veículos automotores;PEGASUS COMERCIO DE DERIVADOS DE PETROLEO LTDA;743
05494572000198;Serviços de organização de feiras, congressos, exposições e festas;FAGGA PROMOCAO DE EVENTOS S.A.;744
05497348000150;Construção de rodovias e ferrovias;TRAIL INFRAESTRUTURA LTDA.;745
05497861000140;Impressão de material para outros usos;PAULIGRAFI GRAFICA E EDITORA LTDA-EPP- ME;746
05500018000176;Construção de rodovias e ferrovias;CAMTER CONSTRUCOES E EMPREENDIMENTOS S.A;747
05502281000102;Construção de edifícios;TECON TECNOLOGIA EM CONSTRUCOES LTDA;748
05547481000173;Construção de rodovias e ferrovias;CONSTRUTORA RODRIGUES DO PRADO LTDA;749
05551074000130;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;PEG TUDO SUPERMERCADO DE SANTA ADELIA LTDA;750
05557184000109;Holdings de instituições não-financeiras;CENTRAL ADMINISTRACAO E PARTICIPACOES LTDA;751
05572251000164;Construção de edifícios;SOLIDEZ CONSTRUCAO CIVIL E INCORPORACAO LTDA - ME;752
05582160000100;Incorporação de empreendimentos imobiliários;CIP IPANEMA PARTICIPACOES LTDA.;753
05585327000196;Locação de automóveis sem condutor;CVAL COMERCIAL DE VEICULOS E ALUGUEIS LTDA - ME;754
05596538000124;Incorporação de empreendimentos imobiliários;TERRADRINA CONSTRUCOES LTDA.;755
05602941000119;Construção de obras-de-arte especiais;TRANA CONSTRUCOES LTDA;756
05608087000106;Outras obras de engenharia civil não especificadas anteriormente;CONSTRUTORA SALINAS LTDA - EPP;757
05611453000178;Fotocópias;MAIS PUBLICIDADE BRASIL LTDA - ME;758
05613622000109;Serviços advocatícios;NIETO E PAES ADVOGADOS ASSOCIADOS - ME;759
05618153000110;Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica;OLIVEIRA LIMA & ASSOCIADOS GESTAO E GERENCIAMENTO DE SISTEMAS S/S LTDA - ME;760
05620523000154;Fabricação de álcool;USINA ELDORADO S/A;761
05625671000161;Geração de energia elétrica;RIO DO SANGUE ENERGIA S A;762
05643160000172;Fabricação de álcool;ENERGETICA SERRANOPOLIS LTDA;763
05647206000121;Outras obras de engenharia civil não especificadas anteriormente;QG CONSTRUCOES E ENGENHARIA LTDA;764
05660758000170;Extração e britamento de pedras e outros materiais para construção e beneficiamento associado;PEDREIRA E EXTRACAO FORTALEZA, IMPORTACAO E EXPORTACAO LTDA;765
05674518000124;Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;HEMOMED MEDICINA TRANSFUSIONAL LTDA;766
05696233000194;Impressão de material para uso publicitário;FUTURA GRAFICA & SERVICOS LTDA - EPP;767
05725540000156;Comércio a varejo de automóveis, camionetas e utilitários novos;AVANTE VEICULOS LTDA;768
05727237000192;Compra e venda de imóveis próprios;GOULART & LIMA S/S LTDA - ME;769
05731821000111;Construção de edifícios;MONREAL CONSTRUCOES CIVIS E INCORPORACOES LTDA;770
05738250000147;Edição integrada à impressão de cadastros, listas e outros produtos gráficos;HR GRAFICA E EDITORA LTDA;771
05762086000103;Incorporação de empreendimentos imobiliários;LUAR DE AGOSTO INCORPORADORA E CONSTRUTORA LTDA - ME;772
05762460000170;Construção de edifícios;CPN - ENGENHARIA E CONSTRUCOES LTDA;773
05770290000176;Serviços de acabamentos gráficos, exceto encadernação e plastificação;GENSA - GRAFICA E EDITORA NOSSA SENHORA APARECIDA LTDA - ME;774
05771239000189;Comércio varejista de combustíveis para veículos automotores;NORTE COMERCIO DE DERIVADOS DE PETROLEO LTDA;775
05771239000260;Comércio varejista de combustíveis para veículos automotores;NORTE COMERCIO DE DERIVADOS DE PETROLEO LTDA;776
05774615000199;Geração de energia elétrica;EMPRESA ENERGETICA PORTO DAS PEDRAS S.A.;777
05790070000104;Fabricação de produtos de panificação industrial;PAO DA HORA COMERCIO E INDUSTRIA DE ALIMENTOS LTDA;778
05800060000102;Serviços de acabamentos gráficos, exceto encadernação e plastificação;JOSE ADIL LEITE - ME;779
05801779000168;Construção de edifícios;MODELO CONSTRUCOES E EMPREENDIMENTOS LTDA - EPP;780
05811812000130;Construção de edifícios;WTORRE ENGENHARIA E CONSTRUCAO S.A.;781
05813361000170;Produção musical;JHLS LANCHONETE E CHOPERIA LTDA - ME;782
05814764000134;Serviços advocatícios;AMARAL E NICOLAU ADVOGADOS;783
05826710000199;Fabricação de obras de caldeiraria pesada;PRESMACOM INDUSTRIAL LIMITADA - EPP;784
05826983000133;Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes;BESSA TERRAPLENAGEM E CONSTRUCOES LTDA;785
05827977000109;Cultivo de cana-de-açúcar;AGROPECUARIA JAYORO LTDA;786
05832555000385;Cultivo de coco-da-baía;SOCOCO S/A - AGROINDUSTRIAS DA AMAZONIA;787
05843222000190;Comércio varejista de combustíveis para veículos automotores;POSTO BARREIRINHAS LTDA;788
05851921000181;Outras obras de engenharia civil não especificadas anteriormente;MJRE CONSTRUTORA LTDA;789
05856869000156;Construção de rodovias e ferrovias;ETEC EMPRESA TECNICA LTDA;790
05880646000124;Comércio atacadista de matérias-primas agrícolas com atividade de fracionamento e acondicionamento associada;SAUL BENNESBY COMERCIO EXTERIOR LTDA;791
05889808000195;Serviços de acabamentos gráficos, exceto encadernação e plastificação;GRAFICA GOULART LTDA - ME;792
05901683000171;Atividades de organizações políticas;PARTIDO TRABALHISTA DO BRASIL;793
05915889000312;Construção de edifícios;EMBRASCON EMPRESA BRASILEIRA DE CONSTRUCAO CIVIL LTDA;794
05935048000105;Fabricação de álcool;USINA SAO PAULO ENERGIA E ETANOL S.A.;795
05942029000106;Impressão de material para outros usos;TALKACTIVE COMERCIO E SERVICOS LTDA - EPP;796
05944063000110;Impressão de livros, revistas e outras publicações periódicas;GM MINISTER EDITORA EIRELI;797
05964140000101;Outras sociedades de participação, exceto holdings;KOBLITZ ENERGIA LTDA;798
05982115000142;Comércio varejista de artigos do vestuário e acessórios;DELLA MODAS CONFECCOES LTDA - ME;799
05983192000117;Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente;SALOMAO ALCOLUMBRE & CIA LTDA;800
05992445000119;"Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças ";REALTINS - SISTEMAS PARA ESCRITORIOS LTDA - EPP;801
06009411000124;Impressão de material para outros usos;ELISABETE CAUREO - ME;802
06012466000193;Captação, tratamento e distribuição de água;SERVI OPERACOES TECNICAS E SERVICOS LTDA.;803
06031440000192;Construção de edifícios;LOPEZ MARINHO ENGENHARIA E CONSTRUCOES LTDA;804
06032426000103;Construção de edifícios;PINESE VIEIRA ENGENHARIA LTDA;805
06033076000108;Serviços de engenharia;LINKS CONSULTORIA EM PROJETOS DE ENGENHARIA EIRELI;806
06047004000101;Outros representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente;ADRIANO LARRE & CIA LTDA - ME;807
06047087001100;Serviços combinados de escritório e apoio administrativo;REDE D'OR SAO LUIZ S.A.;808
06055437000109;Impressão de material para outros usos;EDER VIEIRA CORREA - ME;809
06056990000166;Construção de edifícios;JOSE CELSO GONTIJO ENGENHARIA S/A;810
06057934000146;Comércio varejista de combustíveis para veículos automotores;FARHAT & FARHAT LTDA;811
06088000000171;Atividades de vigilância e segurança privada;TOTAL - VIGILANCIA E SEGURANCA LTDA;812
06088741000152;Frigorífico - abate de bovinos;VALE GRANDE INDUSTRIA E COMERCIO DE ALIMENTOS S/A;813
06090891000109;Impressão de livros, revistas e outras publicações periódicas;PAMPULHA EDITORA GRAFICA LTDA.;814
06092478000175;#NULO;M2SYS TECNOLOGIA E SERVICOS S/A;815
06098460000180;Construção de rodovias e ferrovias;TRATENGE ENGENHARIA LTDA;816
06108130000129;Fotocópias;DIGITAL 9 GRAFICA LTDA - EPP;817
06108422000161;Edição integrada à impressão de cadastros, listas e outros produtos gráficos;FM INDUSTRIA GRAFICA E LOCACAO DE MAQUINAS E EQUIPAMENTOS LTDA;818
06109373000181;Sociedade seguradora de seguros não vida;SAFRA SEGUROS GERAIS S.A.;819
06120096000108;Aluguel de imóveis próprios;SOCIEDADE ADMINISTRADORA E GESTAO PATRIMONIAL LTDA.;820
06120934000143;Serviços advocatícios;MARCINO FERNANDES RODRIGUES ADVOGADOS & CONSULTORES EM DIREITO AMBIENTAL;821
06122117000124;Construção de edifícios;T L ENGENHARIA EIRELI;822
06127582000158;Outras atividades de telecomunicações não especificadas anteriormente;ABILITY TECNOLOGIA E SERVICOS S/A;823
06132739000133;Frigorífico - abate de bovinos;BURITI COMERCIO DE CARNES LTDA;824
06134321000165;Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida;R.A.S. INDUSTRIA DE BRINDES LTDA;825
06142539000161;Fabricação de papel;JAEPEL PAPEIS E EMBALAGENS S.A;826
06142647000134;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;GPS TRANSPORTES E LOGISTICA S/A;827
06152181000158;Compra e venda de imóveis próprios;IDEIA EMPREENDIMENTOS LTDA - EPP;828
06158097000141;Serviços de acabamentos gráficos, exceto encadernação e plastificação;GRAFICA FRANCO MARTINS LTDA - ME;829
06159809000147;Moagem e fabricação de produtos de origem vegetal não especificados anteriormente;CELENA ALIMENTOS S/A;830
06162703000100;Comércio varejista de artigos do vestuário e acessórios;GUAPORE COMERCIO DE ROUPAS LTDA - EPP;831
06175892000148;Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários;COMPROCARD ADMINISTRADORA DE CARTOES LTDA;832
06181420000106;Construção de edifícios;CENP - OLIVEIRA CONSTRUTORA E PAVIMENTACAO LTDA .;833
06189982000198;Comércio varejista de combustíveis para veículos automotores;W. L. SOSTER;834
06197445000190;Atividade médica ambulatorial restrita a consultas;CENTRO CARDIOLOGICO SOARES COELHO S/S LTDA - EPP;835
06198619000139;Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;DROGATIM DROGARIAS LTDA;836
06206132000150;Incorporação de empreendimentos imobiliários;ODEBRECHT REALIZACOES IMOBILIARIAS S.A;837
06227397000135;Impressão de material para outros usos;VERA & FRANCILIA GRAFICA E EDITORA LTDA - ME;838
06234797000178;Comércio atacadista de medicamentos e drogas de uso humano;EXPRESSA DISTRIBUIDORA DE MEDICAMENTOS LTDA;839
06237807000129;Fabricação de móveis com predominância de madeira;PRAT-K UTILIDADES LIMITADA;840
06258768000731;Construção de edifícios;IDIBRA PARTICIPACOES S.A.;841
06259363000122;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;T & D LOGISTICA E TRANSPORTES LTDA;842
06267576000104;Serviços advocatícios;RAMOS FILHO, GONCALVES E AUACHE ADVOGADOS ASSOCIADOS;843
06269747000126;Construção de edifícios;SINNEN SISTEMAS INTEGRADOS DE ENGENHARIA LTDA;844
06273053000162;Atividades de consultoria e auditoria contábil e tributária;JURI CONSULTORIA EMPRESARIAL LTDA;845
06273582000166;Comércio a varejo de peças e acessórios novos para veículos automotores;RS PNEUS COMERCIO DE AUTO PECAS EIRELI - EPP;846
06274611000104;Construção de rodovias e ferrovias;EMPROL LOCADORA E EMPREENDIMENTOS LTDA;847
06278955000191;#NULO;PATRIMONIAL SISTEMAS MONITORADOS DE ALARME LTDA - EPP;848
06282870000187;Holdings de instituições não-financeiras;ESPINDOLA & FILHOS GESTAO E PARTICIPACOES SOCIETARIAS LTDA;849
06298227000141;Impressão de livros, revistas e outras publicações periódicas;A EDITORA PREMIER LTDA - ME;850
06302743000100;Edição integrada à impressão de cadastros, listas e outros produtos gráficos;GRAFICA MOURA LTDA - EPP;851
06314327000467;Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários;JC DISTRIBUICAO LOGISTICA IMPORTACAO E EXPORTACAO DE PRODUTOS INDUSTRIALIZADOS S.A.;852
06315338000119;Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente;NOBLE BRASIL S.A.;853
06322081000122;Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários;TCI TRADING S.A.;854
06323743000189;Limpeza em prédios e em domicílios;TC SERVICOS DE LIMPEZA LTDA - ME;855
06323781000131;Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal;TRANSPORTE OURICURI LTDA - ME;856
06326025000166;#NULO;BUONNY PROJETOS E SERVICOS DE RISCOS SECURITARIOS LTDA.;857
06332709000170;Atividades de organizações políticas;DIRETORIO MUNICIPAL DO PARTIDO SOCIALISTA BRASILEIRO-PSB DE MOSSORO;858
06333945000101;Impressão de material para outros usos;IMPRIMA SOLUCOES GRAFICAS LTDA;859
06337707000174;Serviços advocatícios;BUFFARA BUENO ADVOGADOS;860
06353839000190;Impressão de material para outros usos;GOUVEIA & RODRIGUES GRAFICA E EDITORA LTDA - ME;861
06370081000106;Edição integrada à impressão de cadastros, listas e outros produtos gráficos;JG EDITORA GRAFICA COMPLETA LTDA - ME;862
06371965000177;Manutenção e reparação de máquinas, aparelhos e equipamentos para instalações térmicas;CONENGE - MANUTENCAO E MONTAGEM INDUSTRIAL LTDA;863
06373182000122;Edição de livros;EDITORA LIBERTY LTDA;864
06374127000157;Impressão de material para uso publicitário;VITRINE PRODUCAO VISUAL LTDA - ME;865
06583264000100;Atividades de organizações políticas;PARTIDO DOS TRABALHADORES;866
06626253000151;Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;EMPREENDIMENTOS PAGUE MENOS S/A;867
06698001000219;Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários;MB5 - COMERCIO IMPORTACAO E EXPORTACAO LTDA;868
06751094000117;Extração de calcário e dolomita e beneficiamento associado;CALTAREM - EXPLORACAO DE JAZIDA E COMERCIO DE CALCARIO E BRITA LTDA - EPP;869
06859864000140;Construção de edifícios;LUBRU CONSTRUCOES LTDA.;870
06862627000138;Lojas de departamentos ou magazines;CLAUDINO S A LOJAS DE DEPARTAMENTOS;871
06887204000172;Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal;SAFIRA TURISMO LTDA ME.- ME;872
